order_id,items
1,13798
2,"1117,13243,20899,1522"
3,"2806,19311,7398,19899,14440,14147,2182,1339,7540,7132,3075,668,1713,27040,6586,11994"
4,1270
5,"11024,9667,5241,966,12081,4932,2762,1978,5688,14555,17681,91,6588,1339,1215,10857,12344,13544,5344,4817,8250,9798,741,3382,6651,18511,8633,1425,637,17834,3362"
6,6099
7,"3639,3673,8057,17318,6422,7844,9677"
8,1119
9,"3308,17801,9129,7194,4586,8943"
10,"2588,4046,1259,7859,2406,5226,10140,5217,13408,4815,4116,18301,3685,630,13154,1215,2924,18413,7381,2547,996,2014,6473,9377,5485"
11,1446
12,28608
13,3577
14,11024
15,20640
16,20874
17,"29255,12862,19443,21904,1480,3000"
18,"17983,9278,8177,7870"
19,"5836,2266"
20,6018
21,5534
22,"6383,1795,6260,20574,27391,4817,3085"
23,2853
24,9302
25,"9435,19068,10238,3397"
26,"5558,2073,1759,9926,19418,2129,2045,429,7433"
27,"17369,5372,3124,2072,4040,18025,7455,774,21909,1436,1570,5992,1582,954,448,10561,3639,516,19067,1141,4245"
28,2328
29,21728
30,10709
31,4438
32,2549
33,"469,1452,1480,11812,21056,4660,9529,18631,6635,7381,19554,8410,2182,1711,3381,12344,879"
34,"8470,1145,8186,21251,8610"
35,"1819,1130,7882,21910,28604,10803,4936,20873,4544,20139,10951,19691,8630,5343,9908,970,1189,5234,7694,176,1325,3155,13157,10161,9584,4462,13798,1800,1240,7453,19892,10846,2726,9319,7415,27413,11168,1249,1852,1896,11863,1572,7620,9342"
36,9780
37,"6160,1475"
38,"1817,7049,7830"
39,"422,8585,8173,7482,9789,17403"
40,17604
41,"12103,17717,10266,17667,3106,10694,14,10458,20150,15024,29309,19036,7420"
42,12102
43,"3382,13277,1695,31,2401,559,963,1640,20280,10689,957,5355,3288,6422,3493,7332,11916,14751,1905"
44,2906
45,2678
46,"21924,2986,3640,741,13198,11383,29240,5352,21904,21741,11427,9064,20460,17331,9397,362,27406,7048,17936,5324,976,14875,102,19033,6542,2726,7917"
47,12067
48,"4116,11423,1524,2380,6211"
49,"3557,6067"
50,28841
51,"9849,3381"
52,6461
53,7172
54,8857
55,"3249,12344,12332,19321,20286,19123,9934,5002,13969,18933,1191,14081,5471,7070"
56,13977
57,2760
58,"6388,17811"
59,8799
60,8056
61,"2655,7977,4921"
62,"1117,2825,19405"
63,"8224,9442,1230,6801,1388,4412"
64,1077
65,1477
66,5226
67,"4356,1504,5453,2822,1073,7326,1054,153,27512,12030,4949"
68,1452
69,20574
70,"18236,8640,2859,5710"
71,10665
72,433
73,7074
74,"549,14980,891,1259,4287,6962,1483,11942,20400,3358,4700,112,1556,691,4956,19858,12979,18697,3753,14980,5743,3246,29185"
75,"9665,9055"
76,"7374,890,5624,2359,3075,2360,11994,7279,18735,9844,9702,7612,2676,3831,2174,19503,9561"
77,14088
78,13265
79,11412
80,"1819,8290"
81,"1470,4285,19963,3973,11934,11383,13975,8585,3769,18219,5516,416,12030,4797,18785,13155,2610,7297,372,21160,29208,4700,372,1918,18678,5167,17396,1192,625,12135,1385,11383,2096,1393,9773,525,468,633,3033,4956,29325,28813,27398,1880,3457,21481,3327,7252,1809,7988,8403,17888,7475,803,3000,2498,1939,18030,4588"
82,10548
83,5944
84,6355
85,4317
86,5209
87,"4382,11934,5340,20043,4908,3294,29300,11891,4807,12487,3000,11067,10977,6577,4943,4678,12292,10632,522,13747"
88,2498
89,1123
90,"12344,4782,20656,1363,9884,3354,11854,11939,1311"
91,4116
92,7495
93,"5504,9287,10634,1013,10122,12673,774,525,17504,8202,18781,4647,13265,5304,6461,1296,1795,19333,1251,4664,1695,1211,5130,21964,2496,5138,29324,1031,11961,19574,8274,390,3269,5881,3664,4163,2171,4585,1783,4230,13967,7698,2796,19997,29126,14746,3183,4169,18697,3249,3457,8628,4669,21185,6982,18161,1204,14154,1152,7240,17689,922,19570,1569,6143,11049,1041,12344,2479,17460,8349,9750,10803,7342,2176,1901,18123,10803,1577,1054,10147,10604"
94,"8192,1665,4697"
95,"7987,4878,2229"
96,22061
97,1092
98,"21946,3869,3726,933,13450,7854,1192,19373,6260,1079,1392,17372,6191,475,1460,890"
99,4431
100,"20379,6439,18356,18026,1587,18943,5662,48,37"
101,13231
102,9769
103,"4402,2657,8640"
104,4174
105,9665
106,"3568,13797"
107,1751
108,29308
109,"12261,5399,7844"
110,12331
111,"1403,19420"
112,"2598,12081,13467,5235,12722,7815,1189,18516,5719,308,20112,1348,4529,28842,11789,17110,19478,6127,1361,19928,6509,3539,3456,10765,3279,5369,20480,11722,15311,1133,12389,3966,17673,27837,1791,10902,20537,7202,2420,3554,20278,29128,1888,9666,9635,1014"
113,"9064,6784,1117,13228,11686,1117,4040,10998"
114,"3763,6702,4035"
115,"7038,2605,15024"
116,2771
117,"854,28604,3354,6173,12933,627,6371,3656,2632,2598,7077,937,4575"
118,"3720,11700,10205,20788,28626,12773,9973,2806,4285,14992,6326"
119,9142
120,"5038,1702,5176,4285,13798,29321,5337,937,2406,7388,9064,1583,19582,2352,815,29340,1843,2061,2632,17435"
121,"19083,1664,2294,8062,3108,2627,276,21734,12025,10770,2092,28871,9461,972,5205"
122,"2247,2401,6375,2352,3854,5262,2251,7830,7707,4554"
123,"27426,12261,54,11159,2446,5007,8216,3806,7793,3693,5898,8211,5255,1037,28842,9192,27043"
124,"28869,18035,5710,525,12258,6688"
125,"12266,1449"
126,3650
127,"3064,17584"
128,874
129,"11916,4007,14834,29171,9265,21236"
130,20890
131,"8751,1668"
132,"2560,10979,7495,3648,7081,16561,3085,6813,11080,1465,3042,18930,2108,71,4651"
133,5276
134,9568
135,4324
136,13470
137,"1553,607,5766,7053"
138,"9750,1065,957,9639,27044"
139,1905
140,"6761,29171,9262,17560"
141,8013
142,"17335,4973,12444,5322"
