Bestand,Requester user code,Gemiddelde picktijd na IQR (sec)
1_VerdelingItem01_03,2,2.7351269890295513
1_VerdelingItem01_03,3,0.10976666080832746
1_VerdelingItem01_03,4,3.0361749672315836
1_VerdelingItem01_03,7,2.583830793034448
1_VerdelingItem01_03,8,1.7186512797826665
1_VerdelingItem01_03,12,3.3270246875256997
1_VerdelingItem01_03,16,2.3803225194845887
1_VerdelingItem01_03,18,2.0548637050019796
1_VerdelingItem01_03,19,1.061646196802281
1_VerdelingItem01_03,24,3.684519359213156
1_VerdelingItem01_03,26,2.056297784998243
1_VerdelingItem01_03,27,2.6093498290402475
1_VerdelingItem01_03,28,3.2944537180593674
1_VerdelingItem01_03,30,1.9166329157684436
1_VerdelingItem01_03,35,4.96521234695392
2_VerdelingItem04_06,0,2.1032589911979125
2_VerdelingItem04_06,4,3.106684962056061
2_VerdelingItem04_06,5,3.56959857480423
2_VerdelingItem04_06,7,11.5
2_VerdelingItem04_06,22,2.2746682548310697
2_VerdelingItem04_06,24,4.18037518037518
2_VerdelingItem04_06,33,2.442507838815122
2_VerdelingItem04_06,35,0.13493886031844396
2_VerdelingItem04_06,37,1.7068481405009333
2_VerdelingItem04_06,38,1.9467079734196568
2_VerdelingItem04_06,40,0.9059183921013269
2_VerdelingItem04_06,42,1.8900946975333552
2_VerdelingItem04_06,44,2.0151043119172596
2_VerdelingItem04_06,48,2.6782494649038595
2_VerdelingItem04_06,49,4.312011332148319
2_VerdelingItem04_06,52,2.2631655684321124
2_VerdelingItem04_06,55,3.5740988255817294
2_VerdelingItem04_06,58,1.8851203588160754
2_VerdelingItem04_06,64,1.358576814170634
3_VerdelingItem07_09,4,1.5714439479116693
3_VerdelingItem07_09,13,2.368479341277261
3_VerdelingItem07_09,20,2.4865596519256368
3_VerdelingItem07_09,32,1.1859631664454122
3_VerdelingItem07_09,35,2.5205026455026456
3_VerdelingItem07_09,47,2.5525134419197393
3_VerdelingItem07_09,49,2.997449061956884
3_VerdelingItem07_09,50,1.83508752095944
3_VerdelingItem07_09,51,3.91308954642161
3_VerdelingItem07_09,53,1.5015733482387938
3_VerdelingItem07_09,56,2.050834933706169
3_VerdelingItem07_09,58,3.025072577722512
3_VerdelingItem07_09,60,1.7229950455784009
3_VerdelingItem07_09,65,2.386943805641317
3_VerdelingItem07_09,66,1.397212769103665
3_VerdelingItem07_09,67,1.6706155148304025
3_VerdelingItem07_09,68,2.044047412692562
3_VerdelingItem07_09,73,1.7614488166071722
3_VerdelingItem07_09,76,1.6730099463478965
4_VerdelingItem10_12,1,1.9248588429534121
4_VerdelingItem10_12,7,8.555555555555555
4_VerdelingItem10_12,9,1.645298120526039
4_VerdelingItem10_12,14,2.600420168067227
4_VerdelingItem10_12,30,4.493929525220915
4_VerdelingItem10_12,35,2.6391013158671153
4_VerdelingItem10_12,43,2.1923528709058058
4_VerdelingItem10_12,50,2.124958030674355
4_VerdelingItem10_12,51,2.317075391266728
4_VerdelingItem10_12,54,1.2165434753437927
4_VerdelingItem10_12,64,2.626427664034198
4_VerdelingItem10_12,68,1.7488842642032298
4_VerdelingItem10_12,72,2.6521773218249067
4_VerdelingItem10_12,77,1.3833598183681795
4_VerdelingItem10_12,79,3.0604765001731273
5_VerdelingItem13_15,4,3.9189699027734046
5_VerdelingItem13_15,14,3.1218478481001815
5_VerdelingItem13_15,15,3.2374466284112993
5_VerdelingItem13_15,30,6.610215053763441
5_VerdelingItem13_15,34,3.253619142689192
5_VerdelingItem13_15,48,0.9766732733837997
5_VerdelingItem13_15,50,1.5623499177658329
5_VerdelingItem13_15,55,1.461752943824657
5_VerdelingItem13_15,56,2.3221322886139837
5_VerdelingItem13_15,60,3.149481250173053
5_VerdelingItem13_15,61,3.7685052367410887
5_VerdelingItem13_15,67,3.106932699311305
5_VerdelingItem13_15,68,1.9670837717216556
5_VerdelingItem13_15,70,1.097222222222222
5_VerdelingItem13_15,72,2.1532115648465595
5_VerdelingItem13_15,83,2.4163054636713333
5_VerdelingItem13_15,85,2.2388163877209046
5_VerdelingItem13_15,86,4.197076818015534
5_VerdelingItem13_15,88,4.090483490018013
5_VerdelingItem13_15,89,4.749791244109426
6_VerdelingItem16_19,2,1.3147541600596644
6_VerdelingItem16_19,4,1.8578999032863386
6_VerdelingItem16_19,5,2.2011911622233007
6_VerdelingItem16_19,7,1.5851325233935742
6_VerdelingItem16_19,10,2.0195825263149954
6_VerdelingItem16_19,15,1.8017664534817193
6_VerdelingItem16_19,34,1.4967339968232827
6_VerdelingItem16_19,35,4.498148148148148
6_VerdelingItem16_19,42,1.7372517797023457
6_VerdelingItem16_19,43,1.7299819544726167
6_VerdelingItem16_19,44,1.1053171098330057
6_VerdelingItem16_19,48,2.222844002031643
6_VerdelingItem16_19,50,2.767599162143361
6_VerdelingItem16_19,51,2.488811415635288
6_VerdelingItem16_19,52,1.8669770634866554
6_VerdelingItem16_19,61,3.8702209918153643
6_VerdelingItem16_19,63,1231.5
6_VerdelingItem16_19,67,1.9395217517877543
6_VerdelingItem16_19,68,0.27166666666666667
6_VerdelingItem16_19,72,2.264645997579349
6_VerdelingItem16_19,89,2.2251443252909135
6_VerdelingItem16_19,93,2.4075257552236553
6_VerdelingItem16_19,96,1.5632862123745404
6_VerdelingItem16_19,99,2.2509732658756043
6_VerdelingItem16_19,102,1.9400777194833139
