date,item_code
2002-01-21,13974
2002-01-21,5018
2002-01-21,1357
2002-01-21,4190
2002-01-21,20106
2002-01-21,9498
2002-01-21,3505
2002-01-21,7231
2002-01-21,5338
2002-01-21,19373
2002-01-21,7049
2002-01-21,13644
2002-01-21,11091
2002-01-21,1396
2002-01-21,18407
2002-01-21,13145
2002-01-21,18943
2002-01-21,13798
2002-01-21,5228
2002-01-21,19560
2002-01-21,10602
2002-01-21,6651
2002-01-21,3364
2002-01-21,4459
2002-01-21,29256
2002-01-21,5418
2002-01-21,2610
2002-01-21,4435
2002-01-21,1819
2002-01-21,19246
2002-01-21,9531
2002-01-21,29129
2002-01-21,997
2002-01-21,3155
2002-01-21,19174
2002-01-21,4705
2002-01-21,4612
2002-01-21,1296
2002-01-21,18024
2002-01-21,17363
2002-01-21,3364
2002-01-21,1028
2002-01-21,6788
2002-01-21,13088
2002-01-21,18643
2002-01-21,10045
2002-01-21,18411
2002-01-21,3757
2002-01-21,4501
2002-01-21,5844
2002-01-21,3259
2002-01-21,17810
2002-01-21,5004
2002-01-21,812
2002-01-21,16022
2002-01-21,2351
2002-01-21,9505
2002-01-21,14992
2002-01-21,27037
2002-01-21,9547
2002-01-21,13800
2002-01-21,4438
2002-01-21,8468
2002-01-21,28587
2002-01-21,1445
2002-01-21,6638
2002-01-21,12397
2002-01-21,3726
2002-01-21,17588
2002-01-21,8062
2002-01-21,3034
2002-01-21,9064
2002-01-21,5326
2002-01-21,3834
2002-01-21,10187
2002-01-21,9471
2002-01-21,7880
2002-01-21,13329
2002-01-21,3299
2002-01-21,2574
2002-01-21,87
2002-01-21,17713
2002-01-21,29312
2002-01-21,29240
2002-01-21,955
2002-01-21,11103
2002-01-21,19077
2002-01-21,3108
2002-01-21,7677
2002-01-21,3251
2002-01-21,20320
2002-01-21,10138
2002-01-21,9861
2002-01-21,20594
2002-01-21,18438
2002-01-21,908
2002-01-21,7451
2002-01-21,20275
2002-01-21,1260
2002-01-21,1275
2002-01-21,2875
2002-01-21,5314
2002-01-21,29173
2002-01-21,6446
2002-01-21,4308
2002-01-21,17681
2002-01-21,1941
2002-01-21,8033
2002-01-21,1642
2002-01-21,19159
2002-01-21,3867
2002-01-21,28606
2002-01-21,11012
2002-01-21,11753
2002-01-21,1487
2002-01-21,12108
2002-01-21,18152
2002-01-21,17308
2002-01-21,5534
2002-01-21,7430
2002-01-21,9818
2002-01-21,17765
2002-01-21,27391
2002-01-21,1162
2002-01-21,87
2002-01-21,563
2002-01-21,18471
2002-01-21,10728
2002-01-21,7381
2002-01-21,18420
2002-01-21,1094
2002-01-21,1829
2002-01-21,4309
2002-01-21,4775
2002-01-21,565
2002-01-21,1852
2002-01-21,6102
2002-01-21,1819
2002-01-21,3085
2002-01-21,4760
2002-01-21,7546
2002-01-21,18044
2002-01-21,7785
2002-01-21,20759
2002-01-21,12954
2002-01-21,537
2002-01-21,2346
2002-01-21,12230
2002-01-21,9308
2002-01-21,5010
2002-01-21,4609
2002-01-21,20724
2002-01-21,1872
2002-01-21,10130
2002-01-21,1728
2002-01-21,1263
2002-01-21,1053
2002-01-21,1392
2002-01-21,1396
2002-01-21,12232
2002-01-21,10258
2002-01-21,13408
2002-01-21,4355
2002-01-21,5007
2002-01-21,1043
2002-01-21,13105
2002-01-21,7347
2002-01-21,1013
2002-01-21,5234
2002-01-21,9453
2002-01-21,9452
2002-01-21,7392
2002-01-21,14553
2002-01-21,2257
2002-01-21,7033
2002-01-21,1587
2002-01-21,566
2002-01-21,2065
2002-01-21,18573
2002-01-21,20549
2002-01-21,5611
2002-01-21,18788
2002-01-21,5759
2002-01-21,6389
2002-01-21,18192
2002-01-21,525
2002-01-21,905
2002-01-21,3155
2002-01-21,4601
2002-01-21,438
2002-01-21,1095
2002-01-21,11151
2002-01-21,12168
2002-01-21,1667
2002-01-21,1116
2002-01-21,2734
2002-01-21,11942
2002-01-21,3769
2002-01-21,10765
2002-01-21,3279
2002-01-21,7132
2002-01-21,638
2002-01-21,10105
2002-01-21,8165
2002-01-21,736
2002-01-21,4550
2002-01-21,1778
2002-01-21,10561
2002-01-21,13268
2002-01-21,5593
2002-01-21,11454
2002-01-21,3422
2002-01-21,3966
2002-01-21,3269
2002-01-21,8053
2002-01-21,7945
2002-01-21,1079
2002-01-21,18428
2002-01-21,10908
2002-01-21,18025
2002-01-21,12060
2002-01-21,4179
2002-01-21,5511
2002-01-21,9887
2002-01-21,19023
2002-01-21,7836
2002-01-21,2349
2002-01-21,17900
2002-01-21,9498
2002-01-21,5394
2002-01-21,3430
2002-01-21,5693
2002-01-21,5899
2002-01-21,18605
2002-01-21,9067
2002-01-21,1365
2002-01-21,1308
2002-01-21,6092
2002-01-21,3468
2002-01-21,5136
2002-01-21,11341
2002-01-21,18849
2002-01-21,17446
2002-01-21,16047
2002-01-21,8293
2002-01-21,81
2002-01-21,2632
2002-01-21,20277
2002-01-21,8781
2002-01-21,820
2002-01-21,11658
2002-01-21,741
2002-01-21,18206
2002-01-21,7540
2002-01-21,1270
2002-01-21,4439
2002-01-21,1630
2002-01-21,20280
2002-01-21,1615
2002-01-21,1527
2002-01-21,3182
2002-01-21,1261
2002-01-21,5220
2002-01-21,2987
2002-01-21,1553
2002-01-21,8211
2002-01-21,9417
2002-01-21,7414
2002-01-21,12382
2002-01-21,29187
2002-01-21,3561
2002-01-21,13237
2002-01-21,680
2002-01-21,3892
2002-01-21,6383
2002-01-21,1844
2002-01-21,3421
2002-01-21,17707
2002-01-21,2030
2002-01-21,2141
2002-01-21,28602
2002-01-21,1470
2002-01-21,11091
2002-01-21,1214
2002-01-21,4164
2002-01-21,1002
2002-01-21,1909
2002-01-21,4525
2002-01-21,1360
2002-01-21,5645
2002-01-21,9592
2002-01-21,4336
2002-01-21,10098
2002-01-21,4631
2002-01-21,12555
2002-01-21,6370
2002-01-21,7031
2002-01-21,1642
2002-01-21,11409
2002-01-21,12382
2002-01-21,29168
2002-01-21,1644
2002-01-21,657
2002-01-21,2676
2002-01-21,5353
2002-01-21,11163
2002-01-21,9672
2002-01-21,11812
2002-01-21,10715
2002-01-21,9332
2002-01-21,5881
2002-01-21,2489
2002-01-21,3070
2002-01-21,3300
2002-01-21,9580
2002-01-21,1214
2002-01-21,19510
2002-01-21,10317
2002-01-21,7436
2002-01-21,4078
2002-01-21,549
2002-01-21,1031
2002-01-21,14072
2002-01-21,9266
2002-01-21,17372
2002-01-21,27429
2002-01-21,727
2002-01-21,12363
2002-01-21,8568
2002-01-21,539
